utc_date,utc_time,magnitude,latitude,longitude,depth,location
2018-01-19,16:17:45,6.3,26.6672,-111.079,16.1,"77 km al NORESTE de LORETO, BCS"
2018-02-09,14:05:48,5.9,18.9507,-104.809,3.5,"41 km al SUROESTE de CIHUATLAN, JAL"
2018-02-16,23:39:39,7.2,16.218,-98.0135,16,"14 km al SURESTE de PINOTEPA NACIONAL, OAX"
2018-02-17,0:36:51,5.9,15.8438,-97.9887,24.3,"55 km al SUR de PINOTEPA NACIONAL, OAX"
2018-02-19,6:56:58,6,16.2477,-97.775,10.2,"31 km al SURESTE de PINOTEPA NACIONAL, OAX"
2018-04-11,7:30:38,5.5,15.5382,-95.0407,14.5,"73 km al SUR de SALINA CRUZ, OAX"
2018-06-30,3:56:49,5.9,18.879,-105.271,15.7,"84 km al SUROESTE de CIHUATLAN, JAL"
2018-07-19,13:31:55,5.9,17.7213,-97.8123,55.6,"10 km al SUROESTE de H HUAJUAPAN DE LEON, OAX"
2019-01-21,11:57:19,5.8,15.4165,-94.9038,18.7,"90 km al SURESTE de SALINA CRUZ, OAX"
2019-02-01,16:14:12,6.5,14.5818,-92.4807,76.2,"37 km al SUROESTE de CD HIDALGO, CHIS"
2019-04-22,20:15:23,5.5,15.958,-98.6733,15.8,"79 km al SUROESTE de PINOTEPA NACIONAL, OAX"
2019-05-31,11:57:26,5.8,18.6877,-106.975,10,"261 km al OESTE de CIHUATLAN, JAL"
2019-06-22,22:31:38,5.6,14.3878,-93.0508,11.5,"102 km al SUROESTE de CD HIDALGO, CHIS"
2019-08-12,20:39:35,5.5,15.9068,-93.8033,99.4,"21 km al SUR de TONALA, CHIS"
2019-08-14,21:35:18,5.8,20.4463,-109.265,15.3,"279 km al SUR de CABO SAN LUCAS, BCS"
2019-11-20,4:27:06,6.4,13.7792,-93.3382,9.4,"162 km al SUROESTE de CD HIDALGO, CHIS"
2019-12-23,15:47:55,5.8,13.6873,-93.218,1.1,"159 km al SUROESTE de CD HIDALGO, CHIS"
2020-01-05,4:40:49,6,16.2527,-94.6173,80.8,"33 km al SURESTE de UNION HIDALGO, OAX"
2020-01-10,15:21:21,5.5,18.3913,-105.428,17.1,"131 km al SUROESTE de CIHUATLAN, JAL"
2020-02-02,3:32:44,5.7,13.6932,-93.1072,11.4,"150 km al SUROESTE de CD HIDALGO, CHIS"
2020-03-07,3:52:02,5.6,31.6292,-114.327,8.3,"82 km al NORESTE de SAN FELIPE, BC"
2020-05-22,8:46:06,6.2,22.348,-108.011,5,"191 km al SUROESTE de MAZATLAN, SIN"
2020-06-23,15:29:03,7.4,15.8033,-96.1337,22.8,"4 km al NORTE de CRUCECITA, OAX"
2020-06-24,2:33:21,5.5,15.7488,-96.5613,12,"10 km al OESTE de S PEDRO POCHUTLA, OAX"
2020-07-24,3:19:51,5.7,15.3645,-96.0543,15,"46 km al SUR de CRUCECITA, OAX"
2020-08-04,19:17:54,5.9,13.3183,-92.2393,4.8,"151 km al SUR de CD HIDALGO, CHIS"
2020-10-12,4:13:50,5.5,14.56,-93.86,6,"142 km al SUROESTE de MAPASTEPEC, CHIS"
